timestamp_ms,letter_shown,button_pressed,correct_press,missed_opportunity,vibration_event,vibration_duration_ms,vibration_count,progress,score,time_left_ms
3249395,E,1,1,0,1,1285850,0,TE,1,30559
3256490,A,1,1,0,1,1292945,0,TEA,1,23464
3257771,M,1,1,0,1,1294226,0,,2,22183
3260825,T,1,1,0,1,1297279,0,T,2,19129
3262060,E,1,1,0,1,1298515,0,TE,2,17894
3265249,A,1,1,0,1,1301704,0,TEA,2,14705
3267121,M,1,1,0,1,1303576,0,,3,12833
3268312,T,1,1,0,1,1304767,0,T,3,11642
3270834,E,1,1,0,1,1307289,0,TE,3,9120
3272733,A,1,1,0,1,1309188,0,TEA,3,7221
3273974,M,1,1,0,1,1310429,0,,4,5980
3274776,T,0,1,1,1,1311131,0,,4,5178
3274776,N,1,0,0,1,1311233,0,,4,5178
3275842,E,1,0,0,1,1312297,0,,4,4112
3278224,A,1,0,0,1,1314679,0,,4,1730
3278895,M,1,0,0,1,1315349,0,,4,1059
3422557,N,1,0,0,1,1459012,0,,0,59998
3424201,T,1,1,0,1,1460656,0,T,0,58354
3425482,E,1,1,0,1,1461937,0,TE,0,57073
3434985,A,1,1,0,1,1471440,0,TEA,0,47570
3435676,M,1,1,0,1,1472131,0,,1,46879
3440637,T,1,1,0,1,1477092,0,T,1,41918
3441918,E,1,1,0,1,1478373,0,TE,1,40637
3453419,A,1,1,0,1,1489874,0,TEA,1,29136
3453974,M,1,1,0,1,1490429,0,,2,28581
3454529,T,1,1,0,1,1490984,0,T,2,28026
3465394,E,1,1,0,1,1501849,0,TE,2,17161
3467947,A,1,1,0,1,1504402,0,TEA,2,14608
3471091,M,1,1,0,1,1507546,0,,3,11464
3472951,T,1,1,0,1,1509406,0,T,3,9604
3479105,E,1,1,0,1,1515560,0,TE,3,3450
